agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,rev_code,sub_type
UNFCCC,UNFCCC,2018,17184961,Revenue from other activities,Revenue from other activities,R04,R04
UNFCCC,UNFCCC,2018,34974451,Assessed contributions,Assessed contributions,R01,R01
UNFCCC,UNFCCC,2018,916293,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNFCCC,UNFCCC,2018,45975985,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNFPA,UNFPA,2018,379181,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNFPA,UNFPA,2018,87263495,Revenue from other activities,Revenue from other activities,R04,R04
UNFPA,UNFPA,2018,378800379,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNFPA,UNFPA,2018,144301322,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNFPA,UNFPA,2018,207503021,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UNFPA,UNFPA,2018,70442273,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
UNFPA,UNFPA,2018,454144126,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNDP,UNDP,2018,646916138,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNDP,UNDP,2018,15480197,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02,R02B
UNDP,UNDP,2018,371759890,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNDP,UNDP,2018,66243621,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UNDP,UNDP,2018,902576559,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
UNDP,UNDP,2018,1080139750,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
UNDP,UNDP,2018,2102116639,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNDP,UNDP,2018,61310,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNDP,UNDP,2018,331731011,Revenue from other activities,Revenue from other activities,R04,R04
UNRWA,UNRWA,2018,26595161,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNRWA,UNRWA,2018,34161158,Revenue from other activities,Revenue from other activities,R04,R04
UNRWA,UNRWA,2018,829884052,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNRWA,UNRWA,2018,15005129,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNRWA,UNRWA,2018,389591369,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNWTO,UNWTO,2018,15814227.17,Assessed contributions,Assessed contributions,R01,R01
UNWTO,UNWTO,2018,278278.9612,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNWTO,UNWTO,2018,729546.2215,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNWTO,UNWTO,2018,3364934.247,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
WHO,WHO,2019,85982324,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNWTO,UNWTO,2018,2279199.977,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNWTO,UNWTO,2018,2634345.32,Revenue from other activities,Revenue from other activities,R04,R04
UNIDO,UNIDO,2018,1403689.795,Revenue from other activities,Revenue from other activities,R04,R04
UNIDO,UNIDO,2018,1042585.034,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNIDO,UNIDO,2018,78026279.68,Assessed contributions,Assessed contributions,R01,R01
UNIDO,UNIDO,2018,63834874.93,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
UNIDO,UNIDO,2018,23392056.91,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNIDO,UNIDO,2018,76647429.29,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNIDO,UNIDO,2018,4082577.203,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UNODC,UNODC,2018,34294000,Assessed contributions,Assessed contributions,R01,R01
UNODC,UNODC,2018,4893000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNODC,UNODC,2018,1591000,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNODC,UNODC,2018,20112000,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UNODC,UNODC,2018,327088000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNODC,UNODC,2018,1190000,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNODC,UNODC,2018,19977000,Revenue from other activities,Revenue from other activities,R04,R04
WTO,WTO,2018,198074974.7,Assessed contributions,Assessed contributions,R01,R01
WTO,WTO,2018,623936.1702,Assessed contributions,Assessed contributions,R01,R01
WTO,WTO,2018,21325597.77,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
WTO,WTO,2018,466797.3658,Revenue from other activities,Revenue from other activities,R04,R04
WTO,WTO,2018,14415400.2,Revenue from other activities,Revenue from other activities,R04,R04
ITU,ITU,2018,126840665.7,Assessed contributions,Assessed contributions,R01,R01
ITU,ITU,2018,14795422.49,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
ITU,ITU,2018,33870221.88,Revenue from other activities,Revenue from other activities,R04,R04
WHO,WHO,2019,44042097,Revenue from other activities,Revenue from other activities,R04,R04
ITU,ITU,2018,3204602.837,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
ILO,ILO,2018,20830251.57,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
ILO,ILO,2018,208258716.9,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
ILO,ILO,2018,7386913.87,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
ILO,ILO,2018,49210897.17,Revenue from other activities,Revenue from other activities,R04,R04
ILO,ILO,2018,386793588.2,Assessed contributions,Assessed contributions,R01,R01
ILO,ILO,2018,12726186.7,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
ILO,ILO,2018,6719657.33,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UPU,UPU,2018,36624460.99,Assessed contributions,Assessed contributions,R01,R01
UPU,UPU,2018,18308343.47,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UPU,UPU,2018,19306081.05,Revenue from other activities,Revenue from other activities,R04,R04
WHO,WHO,2018,500750945,Assessed contributions,Assessed contributions,R01,R01
WHO,WHO,2018,89140929,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
WHO,WHO,2018,204634645,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
WHO,WHO,2018,210682015,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
WHO,WHO,2018,173315560,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
WHO,WHO,2018,58642256,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
WHO,WHO,2018,1574846763,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
WHO,WHO,2018,47220652,Revenue from other activities,Revenue from other activities,R04,R04
WHO,WHO,2018,42148082,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
CTBTO,CTBTO,2018,128036236.5,Assessed contributions,Assessed contributions,R01,R01
CTBTO,CTBTO,2018,1885080,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
CTBTO,CTBTO,2018,1594987,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
CTBTO,CTBTO,2018,3065500,Revenue from other activities,Revenue from other activities,R04,R04
IAEA,IAEA,2018,413357595.9,Assessed contributions,Assessed contributions,R01,R01
IAEA,IAEA,2018,224855304.8,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
IAEA,IAEA,2018,15035388.13,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
IAEA,IAEA,2018,14591017.12,Revenue from other activities,Revenue from other activities,R04,R04
IMO,IMO,2018,20820544.88,Revenue from other activities,Revenue from other activities,R04,R04
IMO,IMO,2018,9841857.737,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
IMO,IMO,2018,2176985.284,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
IMO,IMO,2018,18356.51075,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
IMO,IMO,2018,40289442.48,Assessed contributions,Assessed contributions,R01,R01
IARC,IARC,2018,25247537.67,Assessed contributions,Assessed contributions,R01,R01
IARC,IARC,2018,444611.0959,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
IARC,IARC,2018,1312.899543,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02,R02B
IARC,IARC,2018,18127264.84,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
IARC,IARC,2018,1608819.635,Revenue from other activities,Revenue from other activities,R04,R04
UNAIDS,UNAIDS,2018,171356,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,159480,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,290260,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,76994,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,5130485,Revenue from other activities,Revenue from other activities,R04,R04
UNAIDS,UNAIDS,2018,23310023,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,708717,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,16579518,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,39270,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,250000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,6243172,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,490798,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,5889167,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,2777778,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,45000000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,226958,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,967242,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,750000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,227273,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,250000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,1378812,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNAIDS,UNAIDS,2018,30469,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,337888,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,488444,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,50000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,262628,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,3235320,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,40200,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,38295,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,22303,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,153180,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,169318,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,370185,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,174915,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
