Origin,Population start 2011,of whom UNHCR-assisted,Spontaneous arrivals Group recognition,Spontaneous arrivals Individual recognition,Resettlement arrivals,Births,Other increases,Total,Voluntary repatriation total,of whom UNHCR-assisted.1,Resettlement total,of whom UNHCR-assisted.2,Cessation,Naturalization,Deaths,Other decreases,Total.1,Population end 2011,of whom UNHCR-assisted.3
Sao Tome and Principe,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32
Saudi Arabia,668,15,7,57,9,1,2,76,0,0,2,2,0,0,0,3,5,745,21
Senegal,16267,14893,1000,357,3,0,178,1538,0,0,2,2,0,0,0,33,35,17722,16044
Serbia (and Kosovo: S/RES/1244 (1999)),183371,12825,0,2088,46,76,898,3108,392,356,47,47,14,103,46,2967,3569,161671,10946
Seychelles,49,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,1,42,1
Sierra Leone,11276,961,0,430,95,16,14,555,0,0,14,14,1,9,0,51,75,8002,924
Singapore,76,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,67,0
Slovakia,158,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,269,0
Slovenia,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
Solomon Islands,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
Somalia,770150,659450,297115,17535,5475,15521,110671,446317,212,193,4850,4800,4,20,640,118159,123885,1077048,965619
South Africa,379,6,0,66,1,0,8,75,0,0,0,0,1,4,0,4,9,429,8
South Sudan,0,0,0,0,0,0,0,0,906,906,0,0,0,0,0,0,906,1,0
Spain,42,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,43,4
Sri Lanka,141075,3043,466,3740,496,2,16,4720,2365,1729,195,195,0,9,3,910,3482,136617,2935
Stateless,16942,136,0,1796,249,0,14,2059,0,0,11,11,1,44,0,74,130,18172,81
Sudan,387205,352722,102098,8531,972,12172,18584,142357,50074,33835,537,481,3,173,622,24456,75865,500014,460227
Suriname,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,20,0
Swaziland,36,2,0,36,0,0,0,36,0,0,0,0,0,0,0,0,0,43,2
Sweden,25,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24,1
Switzerland,18,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,20,0
Syrian Arab Rep.,18451,708,0,2822,110,25,69,3026,0,0,25,25,0,14,9,54,102,19931,861
Tajikistan,577,43,0,77,0,0,1,78,1,1,4,4,0,1,1,15,22,612,35
Thailand,356,8,0,19,362,0,0,381,0,0,0,0,0,0,0,0,0,368,12
The former Yugoslav Republic of Macedonia,7890,43,0,102,0,0,19,121,0,0,0,0,0,3,0,8,11,7684,56
Tibetan,15066,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,15068,2
Timor-Leste,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Togo,18330,7941,0,227,50,141,11,429,76,76,52,52,0,38,14,52,232,17871,7912
Tonga,6,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0
Trinidad and Tobago,255,0,0,48,0,0,0,48,0,0,0,0,0,0,0,0,0,297,0
Tunisia,2176,41,1,119,3,1,1,125,5,5,3,3,0,0,0,8,16,1952,40
Turkey,146796,15669,0,1425,42,0,2,1469,0,0,1,1,1,37,4,597,640,139779,15132
Turkmenistan,738,21,0,28,2,0,0,30,0,0,2,2,0,1,0,6,9,726,11
Turks and Caicos Islands,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0
Tuvalu,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Uganda,5712,1024,0,538,48,29,109,724,20,20,7,7,0,17,3,317,364,5680,829
Ukraine,25110,46,0,349,462,0,2,813,0,0,2,2,0,18,0,16,36,25379,28
United Arab Emirates,424,0,0,26,0,0,1,27,0,0,0,0,0,0,0,1,1,486,1
United Kingdom,153,1,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,150,0
United Rep. of Tanzania,1145,28,0,90,33,0,38,161,0,0,0,0,0,0,1,31,32,1163,39
United States,3026,11,0,9,2,0,0,11,0,0,0,0,0,0,0,1,1,3778,7
Uruguay,186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,1
Uzbekistan,8836,869,0,558,154,2,3559,4273,0,0,138,138,0,5,1,39,183,12664,1954
Vanuatu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Venezuela (Boliv. Rep. of),6701,243,0,789,4,0,1,794,0,0,3,3,0,0,0,0,3,7577,247
Viet Nam,338699,195,0,242,211,2,2,457,21,21,62,62,0,1,0,115,199,337829,173
Western Sahara,116415,90380,0,20,0,0,6,26,0,0,0,0,0,0,0,42,42,116413,90341
Yemen,2076,307,2,363,9,1,17,392,0,0,9,9,0,1,0,32,42,2323,336
Zambia,228,1,0,23,22,0,0,45,0,0,0,0,0,0,0,0,0,240,1
Zimbabwe,24092,810,0,994,28,20,182,1224,19,19,2,2,3,70,5,11,110,25048,1004
Various/unknown,167129,3773,0,8475,614,6,1193,10288,0,0,73,73,0,253,0,153,479,145048,4542
