Country/territory of asylum/residence,Type of location,Type of accommodation,Name of location,Population of concern to UNHCR at location end 2011,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Coverage Age/sex,Coverage Sex only,Unnamed: 21
Somalia,V,Settlement,Nugaal : Gobolka - Region,9495,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,9495,1.0,1.0
Somalia,V,Settlement,Sanaag : Gobolka - Region,910,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,910,1.0,1.0
Somalia,V,Settlement,Shabelle Dhexe : Gobolka - Region,51960,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,51960,1.0,1.0
Somalia,V,Settlement,Shabelle Hoose : Gobolka - Region,496110,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,496110,1.0,1.0
Somalia,V,Settlement,Sool : Gobolka - Region,4820,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,4820,1.0,1.0
Somalia,V,Settlement,Togdheer : Gobolka - Region,25760,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,25760,1.0,1.0
Somalia,V,Settlement,Woqooyi Galbeed : Gobolka - Region,44590,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,44590,1.0,1.0
South Sudan,R,Camp,"Ezo, Wes : Point",3395,0.19,0.17,0.09,0.45,0.5,0.04,0.48,0.52,0.51,0.5,0.54,0.57,..,0.52,3395,1.0,1.0
South Sudan,R,Camp,"Doro, Upper Nile State",28709,0.17,0.28,0.19,0.65,0.33,0.02,0.45,0.42,0.45,0.44,0.49,0.48,..,0.45,28709,1.0,1.0
South Sudan,R,Camp,"Gorom, CES",1109,0.2,0.18,0.06,0.44,0.56,0,0.47,0.51,0.51,0.49,0.35,0.6,..,0.41,1109,1.0,1.0
South Sudan,R,Camp,"Jammam, Upper Nile State",4156,0.17,0.27,0.19,0.63,0.35,0.02,0.45,0.44,0.45,0.45,0.47,0.48,..,0.45,4156,1.0,1.0
South Sudan,R,Camp,"Lasu, CES",7900,0.22,0.24,0.14,0.6,0.37,0.03,0.51,0.51,0.49,0.51,0.58,0.64,..,0.54,7900,1.0,1.0
South Sudan,R,Camp,"Makpandu, WES",5408,0.17,0.14,0.08,0.39,0.58,0.03,0.52,0.5,0.52,0.51,0.42,0.46,..,0.45,5408,1.0,1.0
South Sudan,R,Camp,"Yida, Unity State",21326,0.17,0.27,0.19,0.63,0.35,0.02,0.45,0.44,0.45,0.45,0.47,0.48,..,0.45,21326,1.0,1.0
South Sudan,R,Camp,Pochalla : Point,3499,0.2,0.29,0.15,0.64,0.33,0.02,0.49,0.49,0.51,0.5,0.75,0.63,..,0.58,3499,1.0,1.0
South Sudan,R,Undefined,Central Equatoria : Wilayat - State,1580,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1580,0.0,0.0
South Sudan,R,Undefined,Jonglei : Wilayat - State,90046,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90046,0.0,0.0
South Sudan,R,Undefined,Juba : Point,1495,0.12,0.09,0.03,0.25,0.74,0.01,0.53,0.46,0.51,0.5,0.22,0.13,..,0.29,1495,1.0,1.0
South Sudan,R,Undefined,Lakes State : Wilayat - State,27255,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27255,0.0,0.0
South Sudan,R,Undefined,"Darjo, Upper Nile State",1159,0.17,0.27,0.19,0.63,0.35,0.02,0.45,0.44,0.45,0.45,0.47,0.47,..,0.45,1159,1.0,1.0
South Sudan,R,Undefined,"El Foj, Upper Nile State",20000,0.17,0.27,0.19,0.63,0.35,0.02,0.45,0.44,0.45,0.45,0.47,0.48,..,0.45,20000,1.0,1.0
South Sudan,R,Undefined,Northern Bahr El Ghazal : Wilayat - State,1759,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1759,0.0,0.0
South Sudan,R,Undefined,Unity : Wilayat - State,81180,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81180,0.0,0.0
South Sudan,R,Undefined,Upper Nile : Wilayat - State,12185,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12185,0.0,0.0
South Sudan,R,Undefined,Warab : Wilayat - State,103205,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103205,0.0,0.0
South Sudan,R,Undefined,Western Bahr El Ghazal : Wilayat - State,9296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9296,0.0,0.0
South Sudan,R,Undefined,Western Equatoria : Wilayat - State,23917,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23917,0.0,0.0
South Sudan,R,Undefined,Western Equatoria : Wilayat - State,5065,0.2,0.2,0.11,0.5,0.46,0.03,0.5,0.51,0.5,0.51,0.51,0.56,..,0.51,5065,1.0,1.0
Sri Lanka,V,Camp,Jaffna : Division,6436,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6436,0.0,0.0
Sri Lanka,V,Camp,Vavuniya : Division,7814,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7814,0.0,0.0
Sri Lanka,V,Undefined,Ampara : Division,2892,0,0,0,0,1,0,..,..,..,..,0.25,..,..,0.25,2892,0.0,0.0
Sri Lanka,V,Undefined,Anuradhapura : Division,3360,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3360,0.0,0.0
Sri Lanka,V,Undefined,Jaffna : Division,115663,0.05,0.16,0.15,0.36,0.56,0.08,0.3,0.41,0.42,0.4,0.47,0.65,..,0.46,115663,0.0,0.0
Sri Lanka,V,Undefined,Kilinochchi : Division,6018,0.07,0.13,0.2,0.41,0.44,0.15,0.5,0.43,0.64,0.55,0.5,0.5,..,0.52,6018,0.01,0.01
Sri Lanka,V,Undefined,Mannar : Division,41843,0.11,0.16,0.16,0.43,0.54,0.04,0.38,0.46,0.54,0.47,0.49,0.35,..,0.47,41843,0.01,0.01
Sri Lanka,V,Undefined,Mullaitivu,30020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30020,0.0,0.0
Sri Lanka,V,Undefined,Puttalam : Division,13001,0,0,0,0,1,0,..,..,..,..,0,..,..,0,13001,0.0,0.0
Sri Lanka,V,Undefined,Sri Lanka : Dispersed in the country / territory,10600,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10600,0.0,0.0
Sri Lanka,V,Undefined,Trincomalee : Division,16243,0.11,0.16,0.12,0.39,0.57,0.05,0.54,0.39,0.53,0.48,0.5,0.57,..,0.5,16243,0.04,0.04
Sri Lanka,V,Undefined,Vavuniya : Division,31314,0.09,0.18,0.1,0.37,0.55,0.08,0.57,0.5,0.45,0.5,0.55,0.7,..,0.54,31314,0.01,0.01
Sudan,R,Camp,Abuda : Point,2723,0.12,0.2,0.16,0.49,0.46,0.05,0.52,0.49,0.49,0.5,0.55,0.42,..,0.52,2723,1.0,1.0
Sudan,R,Camp,Awad El Seid : Point,605,0.12,0.18,0.14,0.44,0.48,0.07,0.42,0.48,0.41,0.44,0.56,0.29,..,0.49,605,1.0,1.0
Sudan,R,Camp,Fau 5 : Point,881,0.14,0.19,0.1,0.43,0.51,0.06,0.46,0.48,0.49,0.48,0.51,0.39,..,0.49,881,1.0,1.0
Sudan,R,Camp,Kilo 26 : Point,7634,0.13,0.18,0.16,0.47,0.47,0.06,0.48,0.5,0.48,0.49,0.58,0.4,..,0.52,7634,1.0,1.0
Sudan,R,Camp,Mukjar : Point,777,0.2,0.27,0.14,0.61,0.35,0.04,0.5,0.54,0.48,0.51,0.54,0.56,..,0.52,777,1.0,1.0
Sudan,R,Camp,NEW LOCATION : to be defined,775,0.11,0.22,0.21,0.54,0.42,0.05,0.39,0.51,0.47,0.47,0.73,0.63,..,0.58,775,1.0,1.0
Sudan,R,Camp,Shagarab 1 : Point,13069,0.16,0.21,0.13,0.51,0.45,0.05,0.49,0.49,0.47,0.48,0.56,0.39,..,0.51,13069,1.0,1.0
Sudan,R,Camp,Shagarab 2 : Point,9029,0.17,0.24,0.14,0.56,0.4,0.04,0.49,0.48,0.49,0.49,0.6,0.37,..,0.53,9029,1.0,1.0
Sudan,R,Camp,Shagarab 3 : Point,5711,0.16,0.22,0.14,0.51,0.43,0.06,0.5,0.51,0.51,0.51,0.62,0.37,..,0.55,5711,1.0,1.0
Sudan,R,Camp,Um Gargur : Point,8550,0.12,0.19,0.17,0.47,0.46,0.07,0.48,0.48,0.46,0.47,0.54,0.38,..,0.49,8550,1.0,1.0
Sudan,R,Camp,Um Shalaya : Point,7250,0.21,0.24,0.13,0.58,0.36,0.06,0.52,0.53,0.46,0.51,0.64,0.66,..,0.57,7250,1.0,1.0
Sudan,R,Camp,Wad Sherife : Point,15481,0.14,0.17,0.17,0.48,0.45,0.06,0.49,0.49,0.5,0.49,0.64,0.49,..,0.56,15481,1.0,1.0
Sudan,R,Settlement,Armankul : Point,2300,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,2300,0.0,1.0
Sudan,R,Settlement,Bir Saleeba area : Point,3000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,3000,0.0,1.0
Sudan,R,Settlement,Habillah : Region,15000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,15000,0.0,1.0
Sudan,R,Settlement,Kosti,12000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,12000,0.0,1.0
Sudan,R,Settlement,Southern Darfur : Wilayat - State,129155,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,129155,0.0,1.0
Sudan,R,Settlement,Tendelti : Point,2500,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,2500,0.0,1.0
Sudan,R,Settlement,Um Dafog : Point,1526,..,..,..,..,..,..,..,..,..,..,..,..,0.53,0.53,1526,0.0,1.0
Sudan,R,Settlement,Um Dukhun : Point,600,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,600,0.0,1.0
Sudan,R,Settlement,Western Darfur : Wilayat - State,46940,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,46940,0.0,1.0
Sudan,R,Settlement,Kosti,13000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,13000,0.0,1.0
Sudan,U,Individual accomm.,Gedaref : Point,1237,0.12,0.18,0.17,0.46,0.51,0.02,0.39,0.49,0.46,0.45,0.41,0.3,..,0.43,1237,1.0,1.0
Sudan,U,Individual accomm.,Kassala : Point,4910,0.11,0.15,0.14,0.4,0.56,0.03,0.5,0.47,0.48,0.48,0.45,0.42,..,0.46,4910,1.0,1.0
Sudan,U,Individual accomm.,Khartoum Urban : Point,10661,0.03,0.1,0.13,0.26,0.71,0.03,0.5,0.5,0.48,0.49,0.45,0.39,..,0.46,10661,1.0,1.0
Sudan,U,Individual accomm.,New Halfa : Point,871,0.02,0.03,0.02,0.07,0.93,0.01,0.42,0.39,0.29,0.37,0.08,0,..,0.1,871,1.0,1.0
Sudan,U,Individual accomm.,Port Sudan : Region,1149,0.11,0.16,0.13,0.4,0.59,0.01,0.43,0.55,0.48,0.5,0.35,0.53,..,0.41,1149,1.0,1.0
Sudan,V,Camp,Girba : Point,5570,0.14,0.18,0.15,0.47,0.46,0.07,0.48,0.49,0.47,0.48,0.61,0.4,..,0.53,5570,1.0,1.0
Sudan,V,Camp,Northern Darfur : Wilayat - State,552687,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,552687,0.0,1.0
Sudan,V,Camp,Southern Darfur : Wilayat - State,586217,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,586217,0.0,1.0
Sudan,V,Camp,Western Darfur : Wilayat - State,761096,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,761096,0.0,1.0
Sudan,V,Individual accomm.,Khartoum : Wilayat - State,19965,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,19965,0.0,1.0
Sudan,V,Settlement,Northern Darfur : Wilayat - State,11190,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,11190,0.0,1.0
Sudan,V,Undefined,Gadaref : Wilayat - State,12450,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,12450,0.0,1.0
Sudan,V,Undefined,Kassala : Wilayat - State,7250,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,7250,0.0,1.0
Sudan,V,Undefined,Khartoum : Wilayat - State,415100,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,415100,0.0,1.0
Sudan,V,Undefined,Northern and Western Darfur,16000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,16000,0.0,1.0
Sudan,V,Undefined,Red Sea : Wilayat - State,9000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,9000,0.0,1.0
Sudan,V,Undefined,Southern Darfur : Wilayat - State,74000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,74000,0.0,1.0
Sudan,V,Undefined,Southern Kordofan : Wilayat - State,50000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,50000,0.0,1.0
Sudan,V,Undefined,White Nile : Wilayat - State,5760,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,5760,0.0,1.0
Sweden,U,Undefined,Sweden : Dispersed in the country / territory,10344,..,..,..,..,..,..,..,..,..,..,..,..,0.41,0.41,10344,0.0,1.0
Switzerland,U,Undefined,Switzerland : Dispersed in the country / territory,67331,0.08,0.11,0.09,0.28,0.69,0.02,0.5,0.47,0.44,0.47,0.34,0.63,0.43,0.4,67331,0.6,1.0
Syrian Arab Rep.3,U,Individual accomm.,Aleppo : Mohafazat - Governorates,6700,0.11,0.16,0.15,0.42,0.52,0.06,0.48,0.51,0.5,0.5,0.52,0.46,..,0.51,6700,1.0,1.0
Syrian Arab Rep.3,U,Individual accomm.,Damascus : Point,80305,0.08,0.16,0.14,0.38,0.53,0.08,0.48,0.48,0.49,0.49,0.54,0.49,..,0.51,80305,1.0,1.0
Syrian Arab Rep.3,U,Individual accomm.,Dara : Mohafazat - Governorates,2095,0.11,0.2,0.17,0.48,0.47,0.05,0.44,0.5,0.46,0.47,0.53,0.53,..,0.5,2095,1.0,1.0
Syrian Arab Rep.3,U,Individual accomm.,Dayr_Az_Zor : Mohafazat - Governorates,1846,0.16,0.2,0.16,0.52,0.44,0.04,0.47,0.5,0.44,0.47,0.56,0.45,..,0.51,1846,1.0,1.0
Syrian Arab Rep.3,U,Individual accomm.,Hassakeh : Mohafazat - Governorates,6543,0.14,0.22,0.14,0.5,0.44,0.05,0.51,0.46,0.49,0.48,0.62,0.56,..,0.55,6543,1.0,1.0
Syrian Arab Rep.3,U,Individual accomm.,Homs : Mohafazat - Governorates,3394,0.09,0.17,0.16,0.42,0.5,0.08,0.47,0.51,0.47,0.49,0.54,0.44,..,0.51,3394,1.0,1.0
Syrian Arab Rep.3,U,Individual accomm.,Lattakia : Mohafazat - Governorates,797,0.06,0.18,0.16,0.4,0.52,0.08,0.41,0.45,0.45,0.45,0.51,0.4,..,0.47,797,1.0,1.0
Syrian Arab Rep.3,U,Individual accomm.,Syrian Arab Republic : Dispersed in the country / territory,653552,0.09,0.17,0.14,0.4,0.52,0.08,0.48,0.49,0.49,0.49,0.54,0.49,..,0.51,653552,1.0,1.0
Syrian Arab Rep.3,U,Individual accomm.,Tartous : Mohafazat - Governorates,753,0.07,0.16,0.19,0.43,0.51,0.07,0.52,0.45,0.5,0.48,0.56,0.4,..,0.52,753,1.0,1.0
Tajikistan,U,Individual accomm.,Dushanbe : Point,2769,0.1,0.24,0.17,0.5,0.45,0.04,0.31,0.49,0.43,0.43,0.48,0.14,..,0.44,2769,0.06,0.06
Tajikistan,U,Individual accomm.,NEW LOCATION : to be defined,2300,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2300,0.0,0.0
Tajikistan,U,Individual accomm.,Tajikistan : Dispersed in the country / territory,2266,0.29,0,0,0.29,0.71,0,0,..,..,0,0.6,..,..,0.43,2266,0.0,0.0
Thailand,R,Camp,Ban Don Yang : Point,3741,0.13,0.17,0.15,0.45,0.51,0.05,0.49,0.5,0.5,0.5,0.53,0.5,..,0.51,3741,1.0,1.0
Thailand,R,Camp,Ban Mae Surin : Point,1916,0.13,0.16,0.13,0.42,0.53,0.05,0.48,0.49,0.48,0.48,0.5,0.44,..,0.49,1916,1.0,1.0
Thailand,R,Camp,Mae La : Point,27629,0.12,0.18,0.15,0.46,0.48,0.06,0.49,0.5,0.47,0.49,0.53,0.53,..,0.51,27629,1.0,1.0
Thailand,R,Camp,Mae La Oon : Point,10204,0.14,0.18,0.13,0.45,0.5,0.05,0.51,0.48,0.47,0.49,0.49,0.49,..,0.49,10204,1.0,1.0
Thailand,R,Camp,Mae Ra Ma Luang : Point,10269,0.14,0.2,0.15,0.48,0.46,0.05,0.5,0.5,0.49,0.49,0.52,0.46,..,0.5,10269,1.0,1.0
Thailand,R,Camp,Mai Nai Soi,12244,0.13,0.19,0.11,0.43,0.51,0.06,0.49,0.49,0.51,0.5,0.48,0.5,..,0.49,12244,1.0,1.0
Thailand,R,Camp,Nu Po : Point,15982,0.1,0.17,0.14,0.4,0.56,0.04,0.5,0.5,0.49,0.5,0.47,0.52,..,0.48,15982,1.0,1.0
Thailand,R,Camp,Tham Hin : Point,7150,0.12,0.17,0.13,0.42,0.53,0.05,0.52,0.48,0.51,0.5,0.5,0.54,..,0.5,7150,1.0,1.0
Thailand,R,Camp,Umpium : Point,11017,0.11,0.17,0.15,0.42,0.53,0.04,0.48,0.49,0.49,0.49,0.5,0.53,..,0.5,11017,1.0,1.0
Thailand,U,Individual accomm.,Bangkok : Point,2072,0.11,0.13,0.08,0.31,0.66,0.03,0.52,0.46,0.4,0.47,0.38,0.37,..,0.41,2072,1.0,1.0
The former Yugoslav Republic of Macedonia,U,Individual accomm.,Skopje : Region,1672,0.13,0.16,0.12,0.4,0.56,0.03,0.5,0.47,0.53,0.5,0.55,0.52,..,0.53,1672,0.98,0.98
Togo,R,Undefined,Dankpen : Region,1855,0.19,0.3,0.12,0.6,0.36,0.04,0.52,0.5,0.42,0.49,0.6,0.54,..,0.53,1855,1.0,1.0
Togo,R,Undefined,Sotouboua : Region,8028,0.19,0.3,0.12,0.61,0.35,0.04,0.51,0.49,0.4,0.48,0.59,0.52,..,0.52,8028,1.0,1.0
Togo,R,Undefined,Tandjoare : Region,3779,0.22,0.26,0.12,0.6,0.32,0.08,0.5,0.47,0.54,0.49,0.63,0.65,..,0.55,3779,1.0,1.0
Togo,U,Camp,Tropicana Site,2779,0.11,0.13,0.1,0.34,0.65,0.01,0.5,0.53,0.46,0.5,0.43,0.55,..,0.45,2779,1.0,1.0
Togo,U,Individual accomm.,Lome : Point,3206,0.11,0.12,0.09,0.32,0.67,0.01,0.45,0.51,0.49,0.48,0.43,0.68,..,0.45,3206,1.0,1.0
Tunisia,R,Camp,Tunisia : Dispersed in the country / territory,1049,0.09,0.13,0.08,0.3,0.53,0.16,0.52,0.51,0.47,0.5,0.45,0.37,..,0.45,1049,1.0,1.0
Tunisia,R,Camp,Shousha,3334,0.06,0.04,0.07,0.18,0.81,0.01,0.43,0.47,0.26,0.37,0.18,0.07,..,0.21,3334,1.0,1.0
Turkey,U,Individual accomm.,Afyon : Point,697,0.1,0.12,0.12,0.34,0.61,0.05,0.46,0.51,0.41,0.46,0.45,0.41,..,0.45,697,1.0,1.0
Turkey,U,Individual accomm.,Agri : Point,846,0.1,0.2,0.18,0.48,0.51,0.01,0.49,0.42,0.4,0.43,0.42,0.36,..,0.42,846,1.0,1.0
Turkey,U,Individual accomm.,Aksaray : Point,589,0.09,0.15,0.16,0.4,0.56,0.04,0.45,0.48,0.38,0.43,0.44,0.41,..,0.44,589,1.0,1.0
Turkey,U,Individual accomm.,Amasya : Point,678,0.09,0.14,0.14,0.37,0.58,0.05,0.66,0.39,0.45,0.48,0.42,0.6,..,0.45,678,1.0,1.0
Turkey,U,Individual accomm.,Ankara:Point,780,0.05,0.07,0.09,0.21,0.76,0.03,0.56,0.49,0.38,0.46,0.34,0.35,..,0.37,780,1.0,1.0
Turkey,U,Individual accomm.,Corum : Point,1031,0.11,0.19,0.12,0.41,0.56,0.03,0.42,0.46,0.55,0.47,0.46,0.47,..,0.46,1031,1.0,1.0
Turkey,U,Individual accomm.,Erzurum: Point,691,0.1,0.18,0.15,0.43,0.56,0.02,0.59,0.5,0.4,0.48,0.42,0.42,..,0.44,691,1.0,1.0
Turkey,U,Individual accomm.,Eskisehir: Point,862,0.07,0.14,0.09,0.3,0.65,0.04,0.39,0.43,0.43,0.42,0.42,0.47,..,0.42,862,1.0,1.0
Turkey,U,Individual accomm.,Gaziantep : Point,1287,0.09,0.16,0.13,0.38,0.59,0.03,0.48,0.45,0.49,0.47,0.39,0.54,..,0.42,1287,1.0,1.0
Turkey,U,Individual accomm.,Isparta : Point,687,0.13,0.16,0.1,0.4,0.59,0.01,0.43,0.49,0.45,0.46,0.46,0.57,..,0.46,687,1.0,1.0
Turkey,U,Individual accomm.,Istanbul : Point,2979,0.08,0.1,0.13,0.31,0.66,0.03,0.44,0.47,0.37,0.42,0.36,0.45,..,0.38,2979,1.0,1.0
Turkey,U,Individual accomm.,Kayseri : Point,2301,0.06,0.12,0.1,0.28,0.68,0.04,0.42,0.45,0.42,0.43,0.48,0.49,..,0.47,2301,1.0,1.0
Turkey,U,Individual accomm.,Kirsehir : Point,722,0.1,0.12,0.11,0.33,0.63,0.04,0.46,0.46,0.41,0.44,0.44,0.47,..,0.44,722,1.0,1.0
Turkey,U,Individual accomm.,Konya : Point,843,0.1,0.14,0.11,0.35,0.63,0.02,0.44,0.48,0.52,0.48,0.43,0.33,..,0.44,843,1.0,1.0
Turkey,U,Individual accomm.,Kutahya : Point,801,0.08,0.18,0.14,0.4,0.59,0.01,0.51,0.49,0.48,0.49,0.44,0.3,..,0.46,801,1.0,1.0
Turkey,U,Individual accomm.,Nevsehir : Point,1051,0.05,0.08,0.08,0.21,0.76,0.03,0.55,0.42,0.42,0.45,0.42,0.43,..,0.43,1051,1.0,1.0
Turkey,U,Individual accomm.,Nigde : Point,597,0.06,0.11,0.09,0.26,0.72,0.01,0.61,0.53,0.5,0.54,0.43,0.63,..,0.46,597,1.0,1.0
Turkey,U,Individual accomm.,Sakarya : Point,1301,0.11,0.14,0.13,0.38,0.59,0.03,0.41,0.41,0.43,0.42,0.39,0.53,..,0.41,1301,1.0,1.0
Turkey,U,Individual accomm.,Tokat : Point,553,0.09,0.13,0.12,0.35,0.6,0.05,0.49,0.47,0.39,0.45,0.44,0.57,..,0.45,553,1.0,1.0
Turkey,U,Individual accomm.,Yalova : Point,605,0.13,0.1,0.08,0.3,0.65,0.05,0.47,0.49,0.62,0.52,0.41,0.47,..,0.44,605,1.0,1.0
Turkey,U,Individual accomm.,Yozgat Urban : Point,945,0.08,0.13,0.1,0.32,0.6,0.08,0.52,0.45,0.45,0.47,0.49,0.51,..,0.48,945,1.0,1.0
Turkmenistan,V,Individual accomm.,Turkmenistan : Dispersed in the country / territory,11000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,11000,0.0,1.0
Uganda,R,Camp,Adjumani : District,1301,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1301,0.0,0.0
Uganda,R,Camp,Amuria : District,512,..,..,..,..,..,..,..,..,..,..,..,..,..,..,512,0.0,0.0
Uganda,R,Camp,Amuru : Point,6779,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6779,0.0,0.0
Uganda,R,Camp,Katakwi : District,600,..,..,..,..,..,..,..,..,..,..,..,..,..,..,600,0.0,0.0
Uganda,R,Camp,Kitgum : District,7070,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7070,0.0,0.0
Uganda,R,Camp,Masindi : District,6500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6500,0.0,0.0
Uganda,R,Camp,Pader : District,6677,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6677,0.0,0.0
Uganda,R,Individual accomm.,Adjumani : District,6064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6064,0.0,0.0
Uganda,R,Individual accomm.,Amuria : District,1103,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1103,0.0,0.0
Uganda,R,Individual accomm.,Amuru : Point,28696,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28696,0.0,0.0
Uganda,R,Individual accomm.,Gulu : District,8706,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8706,0.0,0.0
Uganda,R,Individual accomm.,Katakwi : District,660,..,..,..,..,..,..,..,..,..,..,..,..,..,..,660,0.0,0.0
Uganda,R,Individual accomm.,Kitgum : District,5220,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5220,0.0,0.0
Uganda,R,Individual accomm.,Masindi : District,13500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13500,0.0,0.0
Uganda,R,Individual accomm.,Pader : District,31873,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31873,0.0,0.0
Uganda,R,Settlement,Adjumani : District,6826,0.15,0.26,0.18,0.59,0.39,0.02,0.49,0.5,0.49,0.49,0.59,0.71,..,0.54,6826,1.0,1.0
Uganda,R,Settlement,Imvepi : Point,1933,0.13,0.21,0.22,0.56,0.42,0.02,0.44,0.48,0.43,0.45,0.48,0.82,..,0.47,1933,1.0,1.0
Uganda,R,Settlement,Kayaka II : Point,16222,0.18,0.23,0.15,0.56,0.4,0.04,0.51,0.51,0.49,0.5,0.52,0.48,..,0.51,16222,1.0,1.0
Uganda,R,Settlement,Kiryandongo : Point,4448,0.12,0.23,0.17,0.51,0.45,0.04,0.49,0.5,0.48,0.49,0.53,0.58,..,0.51,4448,1.0,1.0
Uganda,R,Settlement,Kyangwali : Point,25392,0.2,0.23,0.14,0.57,0.41,0.02,0.5,0.5,0.5,0.5,0.5,0.56,..,0.5,25392,1.0,1.0
Uganda,R,Settlement,Nakivale : Point,57588,0.18,0.22,0.14,0.54,0.44,0.02,0.5,0.5,0.5,0.5,0.49,0.48,..,0.5,57588,1.0,1.0
Uganda,R,Settlement,Oruchinga : Point,4932,0.2,0.22,0.13,0.55,0.42,0.03,0.51,0.5,0.49,0.5,0.52,0.51,..,0.51,4932,1.0,1.0
Uganda,R,Settlement,Palorinya : Point,1619,0.16,0.24,0.18,0.58,0.4,0.02,0.5,0.52,0.51,0.51,0.57,0.68,..,0.54,1619,1.0,1.0
Uganda,R,Settlement,Rhino Camp : Point,1441,0.11,0.21,0.23,0.56,0.41,0.03,0.52,0.51,0.48,0.5,0.56,0.62,..,0.53,1441,1.0,1.0
Uganda,U,Individual accomm.,Kampala : District,42500,0.09,0.21,0.31,0.62,0.37,0.01,0.49,0.49,0.44,0.47,0.41,0.53,..,0.45,42500,1.0,1.0
Ukraine,U,Individual accomm.,Ukraine : Dispersed in the country / territory,2585,0.04,0.05,0.09,0.18,0.81,0.01,0.48,0.46,0.32,0.4,0.2,0.61,..,0.24,2585,1.0,1.0
United Arab Emirates,U,Individual accomm.,Abu Dhabi : Emirate - Region,722,0.12,0.23,0.52,0.86,0.13,0,0.46,0.5,0.51,0.5,0.44,0,..,0.49,722,1.0,1.0
United Rep. of Tanzania,R,Camp,Mtabila 1 : Point,37554,0.18,0.23,0.15,0.56,0.42,0.02,0.49,0.49,0.49,0.49,0.5,0.44,..,0.49,37554,1.0,1.0
