Country/territory of asylum/residence,Type of location,Type of accommodation,Name of location,Population of concern to UNHCR at location end 2011,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Coverage Age/sex,Coverage Sex only,Unnamed: 21
Iraq,V,Individual accomm.,Kirkuk : Qadaa - District,45862,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,45862,1.0,1.0
Iraq,V,Individual accomm.,Missan : Muhafazah - Province,40147,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,40147,1.0,1.0
Iraq,V,Individual accomm.,Muthanna : Muhafazah - Province,15351,0.14,0.16,0.16,0.45,0.5,0.04,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,15351,1.0,1.0
Iraq,V,Individual accomm.,Najaf : Qadaa - District,45470,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,45470,1.0,1.0
Iraq,V,Individual accomm.,Ninewa/Mousl : Point,191601,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,191601,1.0,1.0
Iraq,V,Individual accomm.,Qadisiyah : Muhafazah - Province,23578,0.14,0.16,0.16,0.45,0.5,0.04,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,23578,1.0,1.0
Iraq,V,Individual accomm.,Salaheldin : Muhafazah - Province,48492,0.14,0.16,0.16,0.45,0.5,0.04,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,48492,1.0,1.0
Iraq,V,Individual accomm.,Sulaymaniyah : Point,53312,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,53312,1.0,1.0
Iraq,V,Individual accomm.,Thiqar : Muhafazah - Province,44135,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,44135,1.0,1.0
Iraq,V,Individual accomm.,Wasit : Muhafazah - Province,52907,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,52907,1.0,1.0
Ireland,V,Undefined,Ireland : Dispersed in the country / territory,12846,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12846,0.0,0.0
Islamic Rep. of Iran,R,Camp,Bardsir : Shahrestan - County,2800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2800,0.0,0.0
Islamic Rep. of Iran,R,Camp,Khorasan : Ostan - Province,5200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5200,0.0,0.0
Islamic Rep. of Iran,R,Camp,Markazi : Point,4758,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4758,0.0,0.0
Islamic Rep. of Iran,R,Camp,Orumiiyh : Shahrestan - County,625,..,..,..,..,..,..,..,..,..,..,..,..,..,..,625,0.0,0.0
Islamic Rep. of Iran,R,Camp,Rafsanjan : Shahrestan - County,4552,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4552,0.0,0.0
Islamic Rep. of Iran,R,Camp,Semnan : Point,3646,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3646,0.0,0.0
Islamic Rep. of Iran,R,Camp,Shushtar : Shahrestan - County,1974,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1974,0.0,0.0
Islamic Rep. of Iran,R,Camp,Yazd : Shahrestan - County,5056,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5056,0.0,0.0
Islamic Rep. of Iran,R,Individual accomm.,Iran  (Islamic Republic of) : Dispersed in the country / territory,44375,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44375,0.0,0.0
Islamic Rep. of Iran,U,Individual accomm.,Iran  (Islamic Republic of) : Dispersed in the country / territory,812147,0.13,0.13,0,0.25,0.75,0,0,1,..,0.5,0.5,..,..,0.5,812147,0.0,0.0
Israel,V,Individual accomm.,Israel : Dispersed in the country / territory,48647,0.01,0.01,0.02,0.05,0.94,0.01,0.38,0.55,0.45,0.46,0.26,0.46,..,0.27,48647,1.0,1.0
Italy,U,Undefined,Italy : Dispersed in the country / territory,13525,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13525,0.0,0.0
Japan,U,Undefined,Japan : Dispersed in the country / territory,7337,..,..,..,..,..,..,..,..,..,..,..,..,0.31,0.31,7337,0.0,1.0
Jordan2,U,Individual accomm.,Amman : Point,32376,0.09,0.13,0.1,0.33,0.58,0.09,0.48,0.49,0.48,0.49,0.47,0.54,..,0.48,32376,1.0,1.0
Jordan2,U,Individual accomm.,Irbid : Governorate,1654,0.14,0.19,0.11,0.44,0.52,0.05,0.47,0.56,0.5,0.52,0.41,0.49,..,0.46,1654,1.0,1.0
Jordan2,U,Individual accomm.,Jordan : Dispersed in the country / territory,418064,0.09,0.14,0.1,0.33,0.57,0.09,0.48,0.49,0.47,0.48,0.49,0.58,..,0.5,418064,1.0,1.0
Jordan2,U,Individual accomm.,Mafraq : Governorate,821,0.17,0.19,0.14,0.51,0.47,0.02,0.45,0.48,0.48,0.47,0.46,0.53,..,0.47,821,1.0,1.0
Jordan2,U,Individual accomm.,Zarqa : Governorate,2103,0.15,0.2,0.12,0.48,0.48,0.04,0.5,0.5,0.44,0.48,0.46,0.56,..,0.47,2103,1.0,1.0
Kazakhstan,U,Individual accomm.,Almaty : Point,585,0.12,0.14,0.12,0.38,0.61,0.01,0.42,0.49,0.49,0.47,0.45,0.14,..,0.45,585,1.0,1.0
Kazakhstan,V,Individual accomm.,Kazakhstan : Dispersed in the country / territory,11019,0,0.09,0.17,0.26,0.69,0.04,..,0.48,0.48,0.48,0.5,0.61,..,0.5,11019,0.33,0.33
Kenya,R,Camp,Dadaab : Point,8935,0.16,0.18,0.15,0.49,0.47,0.04,0.46,0.45,0.45,0.45,0.48,0.6,..,0.47,8935,1.0,1.0
Kenya,R,Camp,Dagahaley : Point,122214,0.17,0.28,0.13,0.58,0.38,0.03,0.5,0.49,0.47,0.49,0.55,0.51,..,0.51,122214,1.0,1.0
Kenya,R,Camp,Hagadera : Point,137528,0.16,0.24,0.13,0.53,0.44,0.04,0.48,0.49,0.45,0.48,0.52,0.51,..,0.5,137528,1.0,1.0
Kenya,R,Camp,Ifo : Point,118972,0.16,0.24,0.13,0.53,0.43,0.04,0.5,0.49,0.46,0.48,0.51,0.51,..,0.5,118972,1.0,1.0
Kenya,R,Camp,IFO 2 E: Point,28222,0.21,0.33,0.12,0.65,0.32,0.03,0.49,0.48,0.43,0.47,0.58,0.51,..,0.51,28222,1.0,1.0
Kenya,R,Camp,IFO 2 W: Point,36723,0.21,0.32,0.11,0.64,0.33,0.03,0.48,0.48,0.44,0.47,0.58,0.53,..,0.51,36723,1.0,1.0
Kenya,R,Camp,Kakuma : Point,85862,0.15,0.21,0.16,0.53,0.46,0.01,0.49,0.47,0.43,0.47,0.47,0.64,..,0.47,85862,1.0,1.0
Kenya,R,Camp,Kambioos : Point,10833,0.2,0.34,0.12,0.67,0.31,0.03,0.49,0.46,0.42,0.46,0.58,0.56,..,0.5,10833,1.0,1.0
Kenya,U,Individual accomm.,Nairobi : District,52472,0.06,0.13,0.12,0.31,0.66,0.03,0.5,0.49,0.49,0.49,0.48,0.54,..,0.49,52472,1.0,1.0
Kenya,V,Settlement,Kenya : Dispersed in the country / territory,300000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,300000,0.0,0.0
Kenya,V,Undefined,Kenya : Dispersed in the country / territory,20069,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20069,0.0,0.0
Kuwait,U,Individual accomm.,Kuwait : Dispersed in the country / territory,1453,0.1,0.14,0.12,0.36,0.46,0.17,0.52,0.4,0.43,0.44,0.49,0.42,..,0.46,1453,1.0,1.0
Kyrgyzstan,R,Individual accomm.,Batken : Oblast - Region,4750,0.04,0.07,0.01,0.12,0.72,0.17,0.38,0.42,0.25,0.39,0.62,0.24,..,0.53,4750,1.0,1.0
Kyrgyzstan,R,Individual accomm.,Chuy : Oblast - Region,2070,0,0,0,0,0.65,0.35,..,..,..,..,0.54,0.57,..,0.55,2070,1.0,1.0
Kyrgyzstan,R,Individual accomm.,Osh : Oblast - Region,8900,0.04,0.12,0.06,0.22,0.51,0.27,0.55,0.54,0.52,0.54,0.53,0.58,..,0.55,8900,1.0,1.0
Kyrgyzstan,U,Individual accomm.,Bishkek : Point,785,0.06,0.19,0.15,0.4,0.59,0.01,0.36,0.56,0.49,0.5,0.41,0.45,..,0.45,785,1.0,1.0
Kyrgyzstan,U,Individual accomm.,Osh : Point,703,0,0.01,0.01,0.02,0.65,0.33,1,0.57,0.2,0.53,0.54,0.56,..,0.54,703,1.0,1.0
Kyrgyzstan,V,Individual accomm.,Jalal-abad : Oblast - Region,9000,0.09,0.11,0.05,0.25,0.48,0.27,0.46,0.52,0.38,0.47,0.53,0.55,..,0.52,9000,1.0,1.0
Kyrgyzstan,V,Individual accomm.,Kyrgyzstan : Dispersed in the country / territory,177500,0.1,0.13,0.13,0.35,0.59,0.06,0.47,0.47,0.47,0.47,0.52,0.58,0.51,0.51,177500,0.97,1.0
Kyrgyzstan,V,Individual accomm.,Naryn : Oblast - Region,2350,0,0,0,0,0.65,0.35,..,..,..,..,0.54,0.57,..,0.55,2350,1.0,1.0
