Country/territory of asylum,Population start 2011,of whom UNHCR-assisted,Spontaneous arrivals Group recognition,Spontaneous arrivals Individual recognition,Resettlement arrivals,Births,Other increases,Total,Voluntary repatriation total,of whom UNHCR-assisted.1,Resettlement total,of whom UNHCR-assisted.2,Cessation,Naturalization,Deaths,Other decreases,Total.1,Population end 2011,of whom UNHCR-assisted.3
Denmark,17922,0,0,1520,516,0,0,2036,703,0,0,0,0,0,0,0,703,13399,0
Djibouti,15104,15104,5666,58,0,356,51,6131,1,1,177,177,0,0,62,655,895,20340,20340
Dominican Rep.,599,154,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,595,225
Ecuador,121249,52905,0,2679,0,0,19,2698,18,18,397,397,7,0,20,69,511,123436,55092
Egypt,95056,25056,739,767,0,414,474,2394,1919,246,538,275,0,0,44,1437,3938,95087,25087
El Salvador,39,5,0,2,0,0,0,2,0,0,0,0,0,0,1,2,3,38,32
Eritrea,4809,4809,0,0,0,163,34,197,0,0,247,247,0,0,0,40,287,4719,4685
Estonia,39,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,50,0
Ethiopia,154295,154295,131164,260,0,5539,1174,138137,269,269,2563,2563,0,0,143,614,3589,288844,288844
Fiji,2,2,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,7,6
Finland,8724,0,0,1264,584,0,0,1848,137,0,0,0,0,0,0,0,137,9175,0
France,200687,0,0,10644,116,0,0,10760,14,0,0,0,0,0,0,0,14,210207,0
Gabon,9015,9015,0,2,0,41,164,207,709,709,26,26,6798,3,25,7,7568,1773,1773
Gambia,8378,8330,1105,0,0,0,49,1154,4,3,0,0,0,0,0,0,4,9528,9527
Georgia,639,639,0,21,0,3,51,75,20,4,0,0,0,227,3,3,253,462,462
Germany,594269,0,0,9675,63,0,150,9888,1003,0,0,0,0,0,0,0,1003,571685,0
