Origin,Country/territory of asylum,Population start 2011,of whom UNHCR-assisted,Spontaneous arrivals Group recognition,Spontaneous arrivals Individual recognition,Resettlement arrivals,Births,Other increases,Total,Voluntary repatriation total,of whom UNHCR-assisted.1,Resettlement total,of whom UNHCR-assisted.2,Cessation,Naturalization,Deaths,Other decreases,Total.1,Population end 2011,of whom UNHCR-assisted.3
Serbia (and Kosovo: S/RES/1244 (1999)),Montenegro,10948,10948,0,0,0,75,747,822,71,71,0,0,0,0,37,2312,2420,9367,9367
Serbia (and Kosovo: S/RES/1244 (1999)),Sweden,6848,0,0,174,7,0,0,181,0,0,0,0,0,0,0,0,0,5529,0
Somalia,Djibouti,14216,14216,5666,0,0,329,45,6040,0,0,120,120,0,0,55,655,830,19426,19426
Somalia,Egypt,6172,6172,0,167,0,105,105,377,18,0,113,74,0,0,12,78,221,6328,6328
Somalia,Ethiopia,81247,81247,100959,36,0,3897,764,105656,0,0,1175,1175,0,0,126,136,1437,185466,185466
Somalia,Italy,7865,0,0,664,0,0,0,664,0,0,0,0,0,0,0,0,0,8497,0
Somalia,Kenya,351773,351773,163138,436,0,10054,107534,281162,70,70,2102,2102,0,0,368,112729,115269,517666,517666
Somalia,Netherlands,13736,0,0,2358,3,0,0,2361,0,0,0,0,0,0,0,0,0,15715,0
Somalia,Norway,7342,0,0,1289,190,0,0,1479,0,0,0,0,0,0,0,0,0,7981,0
Somalia,South Africa,15186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15186,0
Somalia,Sweden,15238,0,0,2565,587,0,0,3152,0,0,0,0,0,0,0,0,0,17602,0
Somalia,Uganda,11151,11151,0,3173,0,167,0,3340,0,0,251,251,0,0,0,217,468,14023,14023
Somalia,United Kingdom,23893,0,0,589,0,0,0,589,0,0,0,0,0,0,0,0,0,19668,0
Somalia,Yemen,179845,179845,27350,0,0,663,0,28013,106,106,174,174,0,0,65,2917,3262,204685,204685
Sri Lanka,Canada,16967,0,0,281,67,0,0,348,0,0,0,0,0,0,0,0,0,15174,0
Sri Lanka,France,21833,0,0,1237,0,0,0,1237,0,0,0,0,0,0,0,0,0,22719,0
Sri Lanka,Germany,12057,0,0,142,0,0,0,142,0,0,0,0,0,0,0,0,0,11724,0
Sri Lanka,India,69998,0,466,0,0,0,0,466,2307,1673,0,0,0,0,0,639,2946,68152,0
Sri Lanka,United Kingdom,6822,0,0,859,0,0,0,859,0,0,0,0,0,0,0,0,0,5737,0
Stateless,Germany,5103,0,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,5010,0
Sudan,Chad,278257,264064,5200,4884,0,9728,1868,21680,30885,14669,11,11,0,0,490,1125,32511,298311,281311
Sudan,Egypt,10035,10035,0,283,0,223,104,610,144,121,115,61,0,0,22,40,321,10324,10324
Sudan,Ethiopia,25238,25238,19179,98,0,945,209,20431,268,268,27,27,0,0,3,85,383,45286,45286
Sudan,Israel,8137,4580,869,0,0,100,0,969,100,100,6,6,0,0,0,0,106,9000,2000
Sudan,Kenya,20528,20528,0,80,0,750,16248,17078,28,28,213,213,0,0,100,19697,20038,17568,17568
Sudan,South Sudan,0,0,76845,0,0,0,0,76845,0,0,0,0,0,0,0,0,0,76845,76845
Sudan,Uganda,19382,19382,0,64,0,257,47,368,807,807,14,14,0,0,0,661,1482,18268,18268
Syrian Arab Rep.,Germany,10518,0,0,429,0,0,0,429,0,0,0,0,0,0,0,0,0,10155,0
